"Year","P_Cocoa","P_Coffee","P_Copper","P_Rice","P_Sugar","P_Tin","US_CPI","Q_Cocoa","Q_Coffee","Q_Copper","Q_Rice","Q_Sugar","Q_Tin","World_GDP"
1931,2.78,4.87,10.90,16.37,13.02,3.91,45.60,532,29396,1387,1308,2.9,140310,1123
1932,2.36,5.87,7.46,14.40,8.33,3.52,40.90,557,41491,897,1279,2.4,94082,1048
1933,2.36,5.04,9.42,12.23,11.37,6.25,38.80,628,33767,1008,1279,2.2,81178,1063
1934,2.78,6.14,11.31,15.91,13.96,8.34,40.10,590,43028,1267,1394,2.3,114198,1117
1935,2.68,4.93,11.61,20.79,18.53,8.06,41.10,701,31577,1467,1244,2.3,130658,1181
1936,3.64,5.26,12.71,20.41,20.29,7.42,41.50,737,36653,1696,1332,2.5,173025,1283
1937,4.50,6.09,17.67,21.63,20.64,8.69,43.00,758,42583,2285,1417,2.7,197815,1353
1938,2.78,4.26,13.42,19.85,17.01,6.76,42.20,736,39171,2010,1317,2.7,154229,1351
1939,2.57,4.10,14.71,19.21,17.71,8.05,41.60,807,38024,2124,1323,2.7,157683,1447
1940,2.73,3.93,15.16,23.09,15.95,7.97,42.00,690,32220,2397,1323,2.9,227381,1495
1941,4.07,6.26,15.83,25.81,19.82,8.32,44.10,672,26120,2525,1221,2.8,243535,1625
1942,4.76,7.42,15.81,28.35,29.67,8.31,48.80,677,26348,2672,1260,2.7,117145,1776
1943,4.76,7.42,15.81,29.63,28.62,8.31,51.80,612,25923,2693,1228,2.5,137363,1945
1944,4.76,7.42,15.81,29.63,28.97,8.31,52.70,572,24484,2509,1298,2.6,99568,1995
1945,4.76,7.53,15.81,29.63,34.48,8.31,53.90,620,22144,2172,1254,2.3,87376,1838
1946,6.16,10.24,18.54,34.18,41.63,8.72,58.50,660,25675,1848,1129,2.2,87681,1631
1947,18.68,14.78,28.12,54.72,56.29,12.46,66.90,623,29296,2229,1394,2.5,109423,1656
1948,21.25,15.00,29.57,57.99,49.61,15.87,72.10,599,27917,2323,1416,3.0,149555,1746
1949,11.56,18.10,25.76,50.08,48.79,15.88,71.40,783,30918,2268,1553,2.8,159918,1807
1950,17.18,25.86,28.50,42.24,58.40,15.27,72.10,768,28911,2525,1572,2.9,164897,1950
1951,19.00,30.52,32.47,44.61,66.50,20.32,77.80,813,30285,2662,1705,3.3,165100,2116
1952,18.95,29.48,32.47,48.29,48.91,19.26,79.50,652,29725,2766,1832,3.6,167945,2200
1953,19.86,29.48,38.64,53.98,39.99,15.32,80.10,811,32297,2802,1979,3.5,172822,2304
1954,30.94,39.83,39.84,48.79,38.23,14.68,80.50,788,32016,2852,1942,3.9,171704,2340
1955,20.07,31.03,50.30,43.72,38.00,15.15,80.20,815,33922,3112,2098,3.8,170688,2484
1956,14.61,35.69,56.11,42.30,40.81,16.21,81.40,855,43670,3470,2197,4.0,169062,2570
1957,16.38,35.17,39.69,42.39,60.52,15.39,84.30,911,34582,3556,2165,4.2,165710,2648
1958,23.71,25.86,34.57,43.97,41.05,15.21,86.60,786,46230,3449,2241,4.5,117653,2674
1959,19.59,22.24,41.84,40.84,34.83,16.32,87.30,923,52001,3693,2199,5.2,121107,2826
1960,15.20,21.21,43.00,38.53,36.83,16.22,88.69,1053,66421,4242,2189,5.0,138684,2961
1961,12.10,19.66,40.15,42.17,34.13,18.12,89.57,1189,52814,4394,2158,5.5,138684,3095
1962,11.24,18.62,41.06,47.21,34.95,18.33,90.68,1140,58275,4555,2266,5.2,143967,3255
1963,13.54,18.10,41.06,44.27,99.69,18.65,91.75,1176,53416,4624,2470,5.3,143500,3420
1964,12.53,24.31,42.88,42.54,68.85,25.20,92.99,1234,56891,4799,2629,6.0,149200,3609
1965,9.26,23.79,46.99,42.11,24.86,28.49,94.47,1508,35878,4963,2543,6.5,155100,3821
1966,13.06,21.72,48.53,50.42,21.81,26.23,97.29,1226,66359,5220,2612,6.4,167100,4015
1967,15.58,20.17,51.30,63.59,23.34,24.53,100.00,1351,44443,5060,2778,6.7,172900,4155
1968,18.41,20.17,56.15,62.29,23.22,23.69,104.22,1354,51721,5459,2891,6.7,183100,4384
1969,24.46,20.69,63.78,57.74,39.52,26.30,109.85,1242,43410,5943,2956,7.0,178000,4605
1970,18.31,26.90,77.42,44.49,43.98,27.85,116.35,1435,48078,6403,3167,7.3,186700,4748
1971,14.34,23.28,69.01,39.86,53.01,26.76,121.27,1499,40154,6477,3181,7.4,188100,4916
1972,17.29,25.86,67.92,45.45,87.14,28.37,125.26,1583,53083,7063,3082,7.6,196300,5165
1973,34.47,32.07,78.99,108.14,112.94,36.38,133.05,1398,57166,7511,3362,7.8,189100,5459
1974,52.51,34.14,102.85,167.46,351.36,63.36,147.76,1448,43792,7576,3333,7.9,183600,5485
1975,40.04,33.62,85.26,112.18,240.42,54.33,161.25,1548,62433,7182,3591,8.2,181200,5461
1976,58.50,73.97,92.34,78.63,135.81,60.73,170.49,1510,54307,7658,3504,8.2,180200,5725
1977,108.39,124.66,88.30,84.10,95.23,85.47,181.59,1339,42777,7854,3723,9.0,188600,5930
1978,97.41,85.86,87.90,113.54,91.48,100.66,195.41,1503,52571,7671,3881,9.1,196700,6180
1979,94.20,89.48,123.79,102.36,113.29,113.87,217.46,1495,60028,7765,3773,8.9,200100,6374
1980,74.40,80.69,137.37,134.06,336.24,135.26,246.85,1626,62258,7786,3993,8.5,200000,6456
1981,59.41,66.21,112.38,149.23,198.90,115.51,272.36,1660,66064,8355,4125,9.3,204600,6610
1982,49.60,72.42,97.79,90.53,99.05,104.53,289.12,1734,77311,8041,4239,10.1,190600,6578
1983,60.57,68.05,104.44,85.60,99.53,103.07,298.46,1523,62366,8048,4518,9.7,173000,6769
1984,70.11,74.55,89.58,77.93,61.31,99.73,311.15,1513,67676,8236,4702,9.9,167100,7107
1985,65.66,75.53,87.98,66.74,48.09,94.66,322.23,1944,67449,8380,4734,9.8,158200,7339
1986,60.98,100.52,86.67,65.54,73.03,58.56,328.40,1961,74764,8466,4739,10.0,141300,7541
1987,58.76,58.66,112.46,71.71,81.56,63.58,340.39,1994,57569,8742,4575,10.4,136300,7759
